24122025
Symbol,Month type,Symbol Type,Step Value,No. of Strikes Provided (ITM),No. of Strikes Provided (ATM),No. of Strikes Provided (OTM),Total Strikes including reserve (ITM),Total Strikes including reserve (ATM),Total Strikes including reserve (OTM)
TIINDIA,M1,EQUITY,100,5,1,5,15,1,15
TIINDIA,M2,EQUITY,50,7,1,7,21,1,21
TIINDIA,M2,EQUITY,100,5,1,5,15,1,15
TIINDIA,M3,EQUITY,100,3,1,3,9,1,9
TIINDIA,M3,EQUITY,200,3,1,3,9,1,9
TITAGARH,M1,EQUITY,20,5,1,5,15,1,15
TITAGARH,M1,EQUITY,40,4,1,4,12,1,12
TITAN,M1,EQUITY,20,12,1,12,36,1,36
TITAN,M1,EQUITY,40,12,1,12,36,1,36
TITAN,M2,EQUITY,20,12,1,12,36,1,36
TITAN,M2,EQUITY,40,12,1,12,36,1,36
TITAN,M3,EQUITY,40,6,1,6,18,1,18
TITAN,M3,EQUITY,80,6,1,6,18,1,18
TMPV,M1,EQUITY,10,7,1,7,21,1,21
TMPV,M1,EQUITY,20,5,1,5,15,1,15
TMPV,M2,EQUITY,10,7,1,7,21,1,21
TMPV,M2,EQUITY,20,5,1,5,15,1,15
TMPV,M3,EQUITY,20,4,1,4,12,1,12
TMPV,M3,EQUITY,40,3,1,3,9,1,9
TORNTPHARM,M1,EQUITY,50,7,1,7,21,1,21
TORNTPHARM,M1,EQUITY,100,5,1,5,15,1,15
TORNTPHARM,M2,EQUITY,50,7,1,7,21,1,21
TORNTPHARM,M2,EQUITY,100,5,1,5,15,1,15
TORNTPHARM,M3,EQUITY,100,4,1,4,12,1,12
TORNTPHARM,M3,EQUITY,200,3,1,3,9,1,9
TORNTPOWER,M1,EQUITY,20,6,1,6,18,1,18
TORNTPOWER,M1,EQUITY,40,5,1,5,15,1,15
TORNTPOWER,M2,EQUITY,20,6,1,6,18,1,18
TORNTPOWER,M2,EQUITY,40,5,1,5,15,1,15
TORNTPOWER,M3,EQUITY,40,3,1,3,9,1,9
TORNTPOWER,M3,EQUITY,80,2,1,2,6,1,6
TRENT,M1,EQUITY,100,5,1,5,15,1,15
TRENT,M1,EQUITY,200,4,1,4,12,1,12
TRENT,M2,EQUITY,100,5,1,5,15,1,15
TRENT,M2,EQUITY,200,4,1,4,12,1,12
TRENT,M3,EQUITY,200,3,1,3,9,1,9
TRENT,M3,EQUITY,400,2,1,2,6,1,6
TVSMOTOR,M1,EQUITY,50,7,1,7,21,1,21
TVSMOTOR,M1,EQUITY,100,5,1,5,15,1,15
TVSMOTOR,M2,EQUITY,50,7,1,7,21,1,21
TVSMOTOR,M2,EQUITY,100,5,1,5,15,1,15
TVSMOTOR,M3,EQUITY,100,4,1,4,12,1,12
TVSMOTOR,M3,EQUITY,200,3,1,3,9,1,9
ULTRACEMCO,M1,EQUITY,100,12,1,12,36,1,36
ULTRACEMCO,M1,EQUITY,200,9,1,9,27,1,27
ULTRACEMCO,M2,EQUITY,100,12,1,12,36,1,36
ULTRACEMCO,M2,EQUITY,200,9,1,9,27,1,27
ULTRACEMCO,M3,EQUITY,200,6,1,6,18,1,18
ULTRACEMCO,M3,EQUITY,400,5,1,5,15,1,15
UNIONBANK,M1,EQUITY,2.5,5,1,5,15,1,15
UNIONBANK,M1,EQUITY,5,4,1,4,12,1,12
UNIONBANK,M2,EQUITY,2.5,5,1,5,15,1,15
UNIONBANK,M2,EQUITY,5,4,1,4,12,1,12
UNIONBANK,M3,EQUITY,5,3,1,3,9,1,9
UNIONBANK,M3,EQUITY,10,2,1,2,6,1,6
UNITDSPR,M1,EQUITY,10,12,1,12,36,1,36
UNITDSPR,M1,EQUITY,20,10,1,10,30,1,30
UNITDSPR,M2,EQUITY,10,12,1,12,36,1,36
UNITDSPR,M2,EQUITY,20,10,1,10,30,1,30
UNITDSPR,M3,EQUITY,20,6,1,6,18,1,18
UNITDSPR,M3,EQUITY,40,5,1,5,15,1,15
UNOMINDA,M1,EQUITY,20,7,1,7,21,1,21
UNOMINDA,M1,EQUITY,40,5,1,5,15,1,15
UNOMINDA,M2,EQUITY,20,7,1,7,21,1,21
UNOMINDA,M2,EQUITY,40,5,1,5,15,1,15
UNOMINDA,M3,EQUITY,40,3,1,3,9,1,9
UNOMINDA,M3,EQUITY,80,2,1,2,6,1,6
UPL,M1,EQUITY,10,7,1,7,21,1,21
UPL,M1,EQUITY,20,5,1,5,15,1,15
UPL,M2,EQUITY,10,7,1,7,21,1,21
UPL,M2,EQUITY,20,5,1,5,15,1,15
UPL,M3,EQUITY,20,3,1,3,9,1,9
UPL,M3,EQUITY,40,3,1,3,9,1,9
VBL,M1,EQUITY,5,9,1,9,27,1,27
VBL,M1,EQUITY,10,7,1,7,21,1,21
VBL,M2,EQUITY,5,9,1,9,27,1,27
VBL,M2,EQUITY,10,7,1,7,21,1,21
VBL,M3,EQUITY,10,5,1,5,15,1,15
VBL,M3,EQUITY,20,4,1,4,12,1,12
VEDL,M1,EQUITY,5,9,1,9,27,1,27
VEDL,M1,EQUITY,10,7,1,7,21,1,21
VEDL,M2,EQUITY,5,9,1,9,27,1,27
VEDL,M2,EQUITY,10,7,1,7,21,1,21
VEDL,M3,EQUITY,10,5,1,5,15,1,15
VEDL,M3,EQUITY,20,3,1,3,9,1,9
VOLTAS,M1,EQUITY,20,7,1,7,21,1,21
VOLTAS,M1,EQUITY,40,5,1,5,15,1,15
VOLTAS,M2,EQUITY,20,7,1,7,21,1,21
VOLTAS,M2,EQUITY,40,5,1,5,15,1,15
VOLTAS,M3,EQUITY,40,4,1,4,12,1,12
VOLTAS,M3,EQUITY,80,3,1,3,9,1,9
WIPRO,M1,EQUITY,2.5,10,1,10,30,1,30
WIPRO,M1,EQUITY,5,8,1,8,24,1,24
WIPRO,M2,EQUITY,2.5,10,1,10,30,1,30
WIPRO,M2,EQUITY,5,8,1,8,24,1,24
WIPRO,M3,EQUITY,5,5,1,5,15,1,15
WIPRO,M3,EQUITY,10,4,1,4,12,1,12
YESBANK,M1,EQUITY,1,3,1,3,9,1,9
YESBANK,M1,EQUITY,2,2,1,2,6,1,6
YESBANK,M2,EQUITY,1,3,1,3,9,1,9
YESBANK,M2,EQUITY,2,2,1,2,6,1,6
YESBANK,M3,EQUITY,2,3,1,3,9,1,9
YESBANK,M3,EQUITY,4,1,1,1,3,1,3
ZYDUSLIFE,M1,EQUITY,10,10,1,10,30,1,30
ZYDUSLIFE,M1,EQUITY,20,8,1,8,24,1,24
ZYDUSLIFE,M2,EQUITY,10,10,1,10,30,1,30
ZYDUSLIFE,M2,EQUITY,20,8,1,8,24,1,24
ZYDUSLIFE,M3,EQUITY,20,5,1,5,15,1,15
ZYDUSLIFE,M3,EQUITY,40,4,1,4,12,1,12
